iter	Passed	Remaining
0	146	146255
1	147	73746
2	149	49588
3	150	37480
4	151	30220
5	152	25343
6	154	21886
7	155	19343
8	157	17332
9	158	15700
10	159	14366
11	161	13261
12	162	12333
13	163	11531
14	165	10843
15	166	10232
16	167	9701
17	169	9229
18	170	8798
19	171	8409
20	172	8055
21	174	7749
22	175	7472
23	177	7206
24	178	6963
25	179	6742
26	181	6530
27	182	6327
28	183	6143
29	184	5967
30	185	5803
31	186	5655
32	188	5519
33	189	5393
34	190	5264
35	192	5146
36	193	5033
37	194	4923
38	195	4818
39	196	4718
40	197	4629
41	199	4551
42	200	4468
43	202	4388
44	203	4313
45	204	4245
46	205	4176
47	207	4113
48	208	4055
49	210	3994
50	211	3937
51	212	3880
52	214	3825
53	215	3774
54	216	3727
55	218	3681
56	219	3636
57	221	3591
58	222	3549
59	223	3507
60	225	3464
61	226	3423
62	227	3384
63	229	3349
64	230	3313
65	231	3279
66	232	3243
67	234	3211
68	235	3181
69	237	3150
70	238	3117
71	239	3088
72	241	3062
73	242	3036
74	244	3013
75	245	2986
76	246	2960
77	248	2933
78	257	3007
79	259	2982
80	260	2961
81	262	2936
82	262	2904
83	264	2879
84	265	2854
85	266	2831
86	267	2809
87	269	2788
88	270	2769
89	271	2749
90	273	2730
91	274	2711
92	275	2691
93	277	2669
94	278	2650
95	279	2632
96	280	2613
97	282	2595
98	283	2579
99	284	2562
100	286	2545
101	287	2529
102	288	2512
103	289	2496
104	291	2485
105	292	2470
106	294	2458
107	296	2444
108	297	2431
109	298	2418
110	300	2408
111	302	2396
112	303	2385
113	305	2373
114	306	2361
115	307	2347
116	309	2332
117	310	2322
118	312	2311
119	313	2299
120	315	2291
121	317	2281
122	319	2276
123	320	2266
124	322	2257
125	323	2246
126	325	2235
127	326	2225
128	328	2217
129	329	2207
130	331	2198
131	332	2187
132	333	2177
133	335	2166
134	336	2158
135	338	2148
136	339	2139
137	341	2131
138	342	2123
139	344	2113
140	345	2104
141	346	2093
142	347	2084
143	349	2075
144	350	2067
145	352	2059
146	353	2051
147	354	2042
148	356	2035
149	357	2028
150	359	2020
151	360	2011
152	361	2003
153	362	1994
154	364	1986
155	366	1981
156	367	1975
157	369	1969
158	370	1962
159	372	1956
160	373	1947
161	375	1941
162	377	1938
163	378	1931
164	380	1926
165	382	1920
166	383	1913
167	385	1907
168	387	1903
169	388	1897
170	390	1891
171	391	1885
172	392	1878
173	394	1870
174	395	1863
175	396	1857
176	398	1852
177	399	1846
178	401	1839
179	402	1834
180	404	1828
181	405	1823
182	407	1817
183	408	1811
184	409	1805
185	410	1798
186	412	1792
187	413	1787
188	415	1781
189	416	1776
190	418	1770
191	419	1764
192	420	1759
193	422	1753
194	423	1747
195	424	1742
196	425	1736
197	427	1731
198	428	1726
199	430	1721
200	431	1716
201	433	1711
202	434	1707
203	436	1703
204	437	1698
205	439	1694
206	440	1689
207	442	1684
208	443	1678
209	445	1674
210	446	1670
211	448	1666
212	449	1661
213	450	1655
214	452	1651
215	453	1647
216	455	1643
217	456	1638
218	458	1633
219	459	1629
220	460	1624
221	462	1620
222	463	1616
223	465	1612
224	467	1609
225	468	1604
226	469	1600
227	471	1596
228	473	1593
229	474	1589
230	476	1584
231	477	1580
232	478	1575
233	479	1571
234	481	1567
235	482	1563
236	484	1558
237	485	1554
238	486	1550
239	488	1546
240	489	1542
241	491	1539
242	492	1535
243	494	1531
244	496	1528
245	497	1525
246	499	1521
247	500	1517
248	501	1513
249	503	1510
250	504	1506
251	506	1503
252	507	1499
253	509	1496
254	511	1493
255	512	1488
256	513	1484
